institute,program,quota,seat_type,gender,opening_rank,closing_rank,round,year,is_special_round,institute_type,is_pwd,category_base,gender_short,rank_window,competitiveness_score,iit_generation,nit_region,program_category,yoy_closing_rank_change,is_new_age_program,is_top_tier_college,accessibility_label,last_round
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,107831,116838,6,2021,False,GFTI,False,OBC-NCL,GN,9007,0.6174,Not IIT,Not NIT,Other,17713.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,75670,89326,6,2022,False,GFTI,False,OBC-NCL,GN,13656,0.7265,Not IIT,Not NIT,Other,-27512.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,78964,90994,6,2023,False,GFTI,False,OBC-NCL,GN,12030,0.7785,Not IIT,Not NIT,Other,1668.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,80557,107142,6,2025,False,GFTI,False,OBC-NCL,GN,26585,0.8091,Not IIT,Not NIT,Other,16148.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),51199,51199,5,2019,False,GFTI,False,OPEN,FO,0,0.9553,Not IIT,Not NIT,Other,-3782.0,False,False,Low Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),73632,73632,5,2024,False,GFTI,False,OPEN,FO,0,0.9462,Not IIT,Not NIT,Other,7707.0,False,False,Low Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),54981,55078,6,2018,False,GFTI,False,OPEN,FO,97,0.948,Not IIT,Not NIT,Other,-13165.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),64832,64832,6,2020,False,GFTI,False,OPEN,FO,0,0.9349,Not IIT,Not NIT,Other,9754.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),71765,71765,6,2021,False,GFTI,False,OPEN,FO,0,0.9136,Not IIT,Not NIT,Other,6933.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),76804,77258,6,2022,False,GFTI,False,OPEN,FO,454,0.9122,Not IIT,Not NIT,Other,5493.0,False,False,Low Competition,6
